Date,Open,High,Low,Close,Adj Close,Volume
2010-07-19,70.879997,71.500000,70.599998,71.220001,57.000366,465700
2010-07-20,70.099998,70.209999,69.470001,70.190002,56.176018,987600
2010-07-21,69.800003,70.000000,68.910004,69.169998,55.359661,884300
2010-07-22,70.459999,70.989998,70.250000,70.739998,56.616203,486300
2010-07-23,71.010002,71.720001,70.650002,71.309998,57.072392,1010800
2010-07-26,70.910004,71.889999,70.559998,70.900002,56.744255,664900
2010-07-27,70.459999,70.459999,69.769997,69.900002,55.943916,798100
2010-07-28,69.970001,70.099998,68.699997,69.779999,55.847874,863800
2010-07-29,70.440002,70.650002,69.809998,69.970001,55.999935,826200
2010-07-30,70.000000,70.360001,69.889999,70.230003,56.208023,897400
2010-08-02,71.459999,72.050003,71.349998,72.040001,57.656643,1470900
2010-08-03,72.709999,72.930000,72.050003,72.769997,58.240891,1090900
2010-08-04,73.750000,74.669998,73.269997,74.250000,59.425388,1936300
2010-08-05,72.300003,72.419998,71.919998,72.239998,57.816708,1235200
2010-08-06,72.639999,72.639999,71.800003,72.519997,58.040810,896400
2010-08-09,72.050003,72.220001,71.599998,72.070000,57.680645,784000
2010-08-10,71.680000,72.250000,71.160004,71.870003,57.520596,726700
2010-08-11,71.000000,71.000000,69.760002,69.820000,55.879875,850800
2010-08-12,70.000000,70.419998,69.830002,70.150002,56.144005,655400
2010-08-13,70.180000,70.320000,69.599998,69.870003,55.919899,397300
2010-08-16,69.989998,70.519997,69.849998,70.480003,56.408096,484300
2010-08-17,70.860001,70.930000,70.500000,70.650002,56.544167,409900
2010-08-18,70.769997,70.930000,70.570000,70.629997,56.528160,431900
2010-08-19,71.370003,71.930000,70.730003,71.260002,57.032379,728000
2010-08-20,70.339996,70.699997,69.989998,70.430000,56.368095,374700
2010-08-23,70.529999,70.690002,69.900002,69.959999,55.991928,336100
2010-08-24,69.739998,69.989998,69.199997,69.760002,55.831867,592100
2010-08-25,68.889999,69.160004,68.349998,69.059998,55.271626,719400
2010-08-26,69.050003,69.400002,68.449997,68.720001,54.999504,551000
2010-08-27,69.209999,69.459999,68.510002,69.360001,55.511726,418400
2010-08-30,68.739998,68.809998,68.250000,68.250000,54.623348,443100
2010-08-31,68.080002,68.449997,67.660004,67.839996,54.295200,525600
2010-09-01,68.250000,68.889999,68.000000,68.830002,55.087543,634700
2010-09-02,67.830002,68.220001,67.559998,68.220001,54.599339,605200
2010-09-03,69.410004,69.940002,69.120003,69.709999,55.791843,609700
2010-09-07,69.629997,69.809998,69.169998,69.239998,55.415688,343100
2010-09-08,69.029999,69.239998,68.849998,69.120003,55.319645,673300
2010-09-09,70.550003,70.779999,70.279999,70.699997,56.584194,1654600
2010-09-10,70.639999,70.800003,70.430000,70.599998,56.504158,856700
2010-09-13,70.500000,70.500000,69.970001,70.290001,56.256046,972200
2010-09-14,69.419998,70.129997,69.169998,69.800003,55.863876,996700
2010-09-15,70.599998,71.220001,70.419998,71.220001,57.000366,669700
2010-09-16,71.570000,71.830002,71.160004,71.730003,57.408543,396800
2010-09-17,71.900002,71.959999,71.339996,71.510002,57.232475,254500
2010-09-20,71.900002,72.309998,71.379997,72.180000,57.768696,961900
2010-09-21,72.309998,72.309998,71.360001,71.629997,57.328499,833400
2010-09-22,71.930000,71.930000,71.050003,71.550003,57.264484,499500
2010-09-23,70.910004,71.389999,70.699997,70.970001,56.800274,342000
2010-09-24,72.540001,73.059998,72.360001,73.059998,58.472992,655600
2010-09-27,73.190002,73.199997,72.300003,72.400002,58.421154,424500
2010-09-28,72.790001,73.239998,72.279999,73.150002,59.026340,352800
2010-09-29,73.000000,73.360001,72.709999,73.000000,58.905308,492100
2010-09-30,72.330002,72.820000,71.449997,71.580002,57.759483,719700
2010-10-01,71.750000,71.989998,71.529999,71.800003,57.937016,535400
2010-10-04,70.730003,71.260002,70.519997,70.790001,57.122009,369300
2010-10-05,71.349998,72.059998,71.290001,72.029999,58.122589,401900
2010-10-06,71.320000,71.480003,71.110001,71.190002,57.444771,473400
2010-10-07,71.779999,71.779999,70.940002,71.150002,57.412514,278500
2010-10-08,70.650002,71.150002,70.510002,71.070000,57.347942,345600
2010-10-11,71.010002,71.209999,70.760002,70.870003,57.186569,194300
2010-10-12,69.980003,70.290001,69.650002,70.050003,56.524895,478900
2010-10-13,70.050003,70.730003,69.930000,70.300003,56.726620,483100
2010-10-14,71.650002,72.419998,71.279999,72.370003,58.396942,1073500
2010-10-15,71.599998,72.019997,71.059998,71.510002,57.702999,995200
2010-10-18,72.010002,72.660004,72.000000,72.580002,58.566406,352200
2010-10-19,71.599998,72.000000,71.029999,71.349998,57.573875,533400
2010-10-20,71.089996,71.779999,71.089996,71.690002,57.848244,612300
2010-10-21,71.459999,71.970001,71.230003,71.620003,57.791763,440200
2010-10-22,71.669998,72.129997,71.459999,71.699997,57.856316,418200
2010-10-25,71.699997,71.980003,71.099998,71.360001,57.581955,450900
2010-10-26,70.949997,71.129997,70.580002,70.870003,57.186569,362900
2010-10-27,71.040001,71.379997,70.290001,70.910004,57.218842,1345900
2010-10-28,70.959999,71.190002,70.519997,71.129997,57.396370,534300
2010-10-29,70.910004,71.029999,70.629997,70.820000,57.146202,237100
2010-11-01,70.099998,70.099998,69.330002,69.629997,56.185986,695700
2010-11-02,70.349998,70.750000,70.199997,70.230003,56.670128,534900
2010-11-03,70.230003,70.709999,69.750000,70.709999,57.057461,438400
2010-11-04,71.949997,72.820000,71.620003,72.730003,58.687435,1879800
2010-11-05,73.830002,73.919998,72.349998,72.639999,58.614811,1018000
2010-11-08,73.599998,73.820000,73.110001,73.739998,59.502426,900900
2010-11-09,74.010002,74.360001,72.769997,73.099998,58.986004,880900
2010-11-10,74.230003,75.309998,74.000000,75.000000,60.519154,1307400
2010-11-11,75.260002,75.349998,74.849998,75.250000,60.720879,683200
2010-11-12,75.540001,76.400002,75.279999,75.510002,60.930676,1116400
2010-11-15,76.269997,76.370003,75.660004,75.660004,61.051720,619600
2010-11-16,75.629997,75.660004,74.750000,74.930000,60.462658,835000
2010-11-17,75.839996,76.180000,75.580002,75.849998,61.205036,665900
2010-11-18,77.360001,77.510002,76.830002,77.290001,62.366985,989100
2010-11-19,78.040001,78.470001,77.459999,78.470001,63.319160,957700
2010-11-22,78.360001,78.669998,77.790001,78.470001,63.319160,647000
2010-11-23,77.410004,78.360001,77.080002,77.430000,62.479980,627100
2010-11-24,78.470001,78.970001,78.250000,78.930000,63.690353,654000
2010-11-26,78.089996,78.459999,78.059998,78.360001,63.230404,313700
2010-11-29,77.760002,78.379997,77.029999,78.250000,63.141644,540100
2010-11-30,76.949997,77.989998,76.559998,77.690002,62.689770,552400
2010-12-01,79.059998,79.809998,79.019997,79.580002,64.214844,1169100
2010-12-02,78.360001,79.470001,78.339996,79.019997,63.762981,584700
2010-12-03,78.500000,79.250000,78.419998,79.050003,63.787186,654900
2010-12-06,79.000000,79.300003,78.809998,79.139999,63.859814,286200
2010-12-07,79.309998,79.440002,78.550003,78.669998,63.480530,519800
2010-12-08,78.470001,78.790001,77.769997,78.360001,63.230404,363700
2010-12-09,78.370003,78.370003,77.610001,77.970001,62.915714,353700
2010-12-10,77.160004,77.489998,76.839996,77.260002,62.342808,393600
2010-12-13,77.839996,78.230003,77.510002,77.980003,62.923779,407400
2010-12-14,78.099998,78.480003,77.860001,78.040001,62.972206,331800
2010-12-15,78.089996,78.669998,77.949997,78.139999,63.052887,326400
2010-12-16,78.000000,78.430000,77.669998,78.300003,63.181988,191300
2010-12-17,77.440002,77.750000,77.250000,77.480003,62.520309,284900
2010-12-20,77.419998,77.639999,77.120003,77.230003,62.318596,302900
2010-12-21,77.500000,78.129997,77.290001,78.010002,62.947983,379700
2010-12-22,77.550003,77.889999,77.550003,77.690002,62.689770,194600
2010-12-23,78.000000,78.050003,77.449997,77.660004,62.665577,199300
2010-12-27,77.410004,78.000000,77.410004,77.900002,62.859211,229500
2010-12-28,78.550003,78.550003,78.070000,78.250000,63.141644,245800
2010-12-29,78.940002,79.120003,78.750000,79.099998,63.827522,293400
2010-12-30,78.910004,79.089996,78.059998,78.349998,63.222340,251800
2010-12-31,78.239998,78.860001,78.139999,78.629997,63.448269,258800
2011-01-03,79.019997,79.750000,79.019997,79.430000,64.093826,397100
2011-01-04,79.330002,79.860001,79.110001,79.860001,64.440788,431400
2011-01-05,79.610001,80.379997,78.699997,80.199997,64.715141,521100
2011-01-06,81.070000,81.889999,80.879997,81.540001,65.796425,1073100
2011-01-07,82.620003,82.949997,82.150002,82.459999,66.538795,686200
2011-01-10,82.190002,82.769997,82.050003,82.769997,66.788925,416200
2011-01-11,83.290001,83.379997,82.870003,83.379997,67.281143,388300
2011-01-12,84.169998,84.639999,83.750000,84.440002,68.136497,591400
2011-01-13,85.269997,85.680000,85.000000,85.389999,68.903069,903800
2011-01-14,85.510002,86.099998,85.430000,85.959999,69.363022,537400
2011-01-18,85.309998,85.489998,84.870003,85.180000,68.733620,399800
2011-01-19,85.019997,85.029999,83.709999,84.000000,67.781464,574200
2011-01-20,83.470001,83.620003,82.519997,83.360001,67.265022,774300
2011-01-21,81.820000,82.330002,81.620003,82.010002,66.175682,607700
2011-01-24,82.419998,83.669998,82.169998,83.500000,67.377991,390900
2011-01-25,83.419998,83.980003,83.269997,83.860001,67.668480,306000
2011-01-26,82.379997,82.849998,82.050003,82.290001,66.401604,886900
2011-01-27,83.019997,83.809998,83.000000,83.529999,67.402199,476800
2011-01-28,82.400002,82.550003,81.150002,81.360001,65.651176,828100
2011-01-31,82.199997,82.540001,81.519997,82.180000,66.312851,648500
2011-02-01,82.610001,83.379997,82.339996,83.290001,67.208534,578600
2011-02-02,85.010002,85.110001,84.559998,85.000000,68.588371,950900
2011-02-03,84.440002,84.750000,83.769997,84.680000,68.330162,385400
2011-02-04,84.750000,84.750000,84.029999,84.750000,68.386635,464300
2011-02-07,84.730003,85.239998,84.699997,85.129997,68.693268,327900
2011-02-08,86.910004,89.309998,86.910004,88.570000,71.469086,2933200
2011-02-09,89.089996,89.629997,88.230003,89.629997,72.324425,1299900
2011-02-10,90.330002,90.980003,88.550003,88.820000,71.670815,2106500
2011-02-11,88.910004,90.199997,88.900002,90.050003,72.663322,891900
2011-02-14,92.610001,92.970001,92.349998,92.809998,74.890442,1060600
2011-02-15,93.099998,93.500000,92.660004,92.970001,75.019547,676500
2011-02-16,93.190002,93.739998,93.059998,93.680000,75.592453,446800
2011-02-17,93.589996,93.650002,93.220001,93.449997,75.406860,796200
2011-02-18,93.389999,93.489998,93.010002,93.199997,75.205147,373500
2011-02-22,91.199997,91.900002,90.349998,90.690002,73.179764,1023900
2011-02-23,90.480003,90.809998,89.089996,90.169998,72.760147,998000
2011-02-24,89.080002,90.680000,88.500000,90.099998,72.703674,1040300
2011-02-25,91.519997,91.830002,91.059998,91.750000,74.035095,558900
2011-02-28,93.410004,93.529999,92.870003,93.300003,75.285820,763400
2011-03-01,93.720001,93.900002,92.550003,92.839996,74.914642,993100
2011-03-02,91.910004,92.160004,91.110001,91.529999,73.857574,643000
2011-03-03,91.800003,92.199997,91.500000,92.190002,74.390137,541400
2011-03-04,91.610001,91.849998,90.199997,90.989998,73.421837,440400
2011-03-07,90.320000,90.580002,88.870003,89.019997,71.832191,578000
2011-03-08,89.669998,90.330002,89.110001,89.989998,72.614899,426600
2011-03-09,89.650002,90.000000,89.360001,89.540001,72.251801,454800
2011-03-10,88.070000,88.489998,87.349998,87.519997,70.621819,587900
2011-03-11,85.300003,86.089996,84.760002,85.650002,69.112877,1792900
2011-03-14,80.580002,81.970001,80.230003,81.730003,65.949738,3626600
2011-03-15,77.500000,82.059998,77.360001,81.389999,65.675385,5117600
2011-03-16,82.110001,82.779999,79.099998,80.410004,64.884605,2980100
2011-03-17,82.260002,82.690002,81.239998,82.059998,66.216003,1528000
2011-03-18,79.900002,81.580002,79.790001,81.559998,65.812553,1465800
2011-03-21,83.500000,84.279999,82.430000,83.750000,67.579727,1708500
2011-03-22,82.980003,83.230003,82.519997,83.000000,66.974525,1217500
2011-03-23,81.860001,82.720001,80.949997,82.139999,66.280563,937200
2011-03-24,80.279999,81.790001,80.199997,81.190002,65.514000,1509300
2011-03-25,80.989998,81.089996,80.519997,80.760002,65.167023,1007000
2011-03-28,80.849998,81.230003,80.500000,80.550003,65.604401,711000
2011-03-29,79.570000,80.070000,79.419998,79.709999,64.920258,1137200
2011-03-30,80.519997,81.519997,80.260002,80.959999,65.938324,846200
2011-03-31,80.730003,80.769997,80.199997,80.250000,65.360062,532800
2011-04-01,80.529999,81.000000,79.800003,80.510002,65.571808,744300
2011-04-04,80.209999,80.209999,79.410004,79.480003,64.732925,961600
2011-04-05,77.510002,78.330002,77.220001,77.629997,63.226181,2072100
2011-04-06,77.139999,77.870003,76.919998,77.349998,62.998138,1959300
2011-04-07,77.860001,77.860001,75.949997,77.209999,62.884106,1641600
2011-04-08,78.559998,78.639999,77.680000,77.879997,63.429794,1188400
2011-04-11,77.010002,77.110001,76.260002,76.500000,62.305840,1058500
2011-04-12,76.650002,77.559998,76.629997,77.199997,62.875965,1038800
2011-04-13,78.339996,78.389999,77.599998,77.980003,63.511246,723100
2011-04-14,77.769997,78.089996,77.320000,77.879997,63.429794,713600
2011-04-15,77.739998,78.089996,77.470001,77.639999,63.234318,513600
2011-04-18,76.980003,77.360001,76.839996,77.250000,62.916691,825400
2011-04-19,76.300003,76.410004,75.849998,76.120003,61.996365,939400
2011-04-20,77.279999,77.430000,76.919998,77.260002,62.924850,525200
2011-04-21,77.919998,78.309998,77.669998,77.800003,63.364635,476700
2011-04-25,79.290001,79.529999,78.889999,79.510002,64.757362,936300
2011-04-26,78.769997,78.790001,78.199997,78.660004,64.065063,776700
2011-04-27,78.089996,78.430000,77.650002,78.290001,63.763721,714300
2011-04-28,78.889999,79.660004,78.650002,79.500000,64.749207,503900
2011-04-29,79.599998,80.190002,79.580002,79.680000,64.895805,558000
2011-05-02,80.769997,80.769997,79.989998,80.160004,65.286766,692200
2011-05-03,80.330002,80.370003,79.199997,79.690002,64.903976,640200
2011-05-04,79.790001,80.199997,79.540001,79.760002,64.960960,455500
2011-05-05,79.550003,80.160004,79.239998,79.559998,64.798080,687700
2011-05-06,79.930000,79.989998,78.680000,79.099998,64.423431,598900
2011-05-09,79.059998,79.389999,78.620003,79.360001,64.635170,484600
2011-05-10,80.629997,81.050003,80.500000,81.019997,65.987175,714700
2011-05-11,81.000000,81.620003,80.459999,81.459999,66.345535,966000
2011-05-12,82.849998,83.699997,82.449997,83.629997,68.112907,1659800
2011-05-13,83.900002,84.000000,83.169998,83.379997,67.909294,1070000
2011-05-16,82.889999,82.989998,82.019997,82.209999,66.956390,552500
2011-05-17,81.209999,81.559998,80.870003,81.370003,66.272247,665600
2011-05-18,81.220001,81.480003,81.010002,81.389999,66.288528,392800
2011-05-19,81.019997,81.169998,80.220001,80.699997,65.726547,678900
2011-05-20,80.320000,80.320000,79.699997,79.959999,65.123863,532700
2011-05-23,79.290001,79.849998,79.169998,79.540001,64.781792,496500
2011-05-24,79.900002,80.320000,79.690002,79.889999,65.066849,927200
2011-05-25,80.760002,82.150002,80.610001,81.769997,66.598015,686000
2011-05-26,82.010002,82.379997,81.709999,82.209999,66.956390,558500
2011-05-27,82.080002,82.309998,81.930000,82.260002,66.997116,291900
2011-05-31,83.389999,83.470001,82.839996,83.290001,67.835999,652700
2011-06-01,82.709999,82.849998,81.360001,81.500000,66.378136,711200
2011-06-02,81.129997,81.330002,80.599998,80.910004,65.897591,409900
2011-06-03,80.330002,81.000000,80.139999,80.510002,65.571808,650200
2011-06-06,80.150002,80.349998,79.730003,79.919998,65.091270,445100
2011-06-07,81.699997,81.900002,81.419998,81.570000,66.435135,759600
2011-06-08,81.940002,82.430000,81.570000,81.750000,66.581726,743600
2011-06-09,81.580002,82.139999,81.410004,81.919998,66.720192,308700
2011-06-10,81.309998,81.320000,80.620003,80.669998,65.702126,1000000
2011-06-13,80.209999,80.260002,79.400002,79.720001,64.928398,836200
2011-06-14,80.080002,80.660004,80.040001,80.440002,65.514801,464200
2011-06-15,79.910004,80.330002,79.279999,79.480003,64.732925,550600
2011-06-16,79.239998,79.750000,79.029999,79.470001,64.724785,580200
2011-06-17,79.610001,79.900002,79.370003,79.510002,64.757362,375000
2011-06-20,79.349998,80.199997,79.260002,80.129997,65.262321,460600
2011-06-21,80.300003,80.889999,80.120003,80.760002,65.775429,403200
2011-06-22,80.519997,81.410004,80.519997,80.699997,65.726547,403900
2011-06-23,79.970001,80.910004,79.849998,80.820000,65.824303,568800
2011-06-24,81.489998,81.669998,81.169998,81.290001,66.207085,334300
2011-06-27,79.669998,80.070000,79.470001,79.739998,64.944672,623200
2011-06-28,79.820000,80.250000,79.760002,80.080002,65.221588,241800
2011-06-29,81.160004,81.660004,80.570000,81.529999,66.402565,431100
2011-06-30,81.730003,82.639999,81.690002,82.419998,67.127426,532700
2011-07-01,82.440002,83.500000,82.440002,83.449997,67.966301,624600
